Row	Anon Student Id	Problem Name	Problem View	Step Name	Step Start Time	First Transaction Time	Correct Transaction Time	Step End Time	First Attempt	Incorrects	Corrects	Hints	KC (Single-KC)	Opportunity (Single-KC)	KC (field)	Opportunity (field)
0	8128648f-010e-480d-974a-085a9fb71db6	solve_triangle/ASA: A=30, C=60, a=10	1	normalize_inputs	11/11/2025 11:32:42	11/11/2025 11:32:42		11/11/2025 11:32:42	hint	0	0	1	Single-KC	1	normalize_inputs	1
0	70bc69da-1fdd-4d86-8913-e47c53d90520	solve_triangle/ASA: A=30, C=60, a=10	1	normalize_inputs	11/11/2025 12:02:01	11/11/2025 12:02:01		11/11/2025 12:02:01	hint	0	0	1	Single-KC	1	normalize_inputs	1
0	71cd179c-b83f-4683-8a5e-b94d55983cf4	solve_triangle/SAS: a=7, b=8, C=60.	1	normalize_inputs	11/11/2025 12:14:37	11/11/2025 12:14:37		11/11/2025 12:14:37	hint	0	0	1	Single-KC	1	normalize_inputs	1
0	1ddd8893-a573-4cac-8e27-0d919a3fb433	solve_triangle/ASA: A=30, C=60, a=10	1	normalize_inputs	11/11/2025 12:24:47	11/11/2025 12:24:47		11/11/2025 12:24:47	hint	0	0	1	Single-KC	1	normalize_inputs	1
0	71d6a6bd-48c1-4fd4-9aa3-3656b787f9c6	solve_triangle/Right triangle: a=3, b=4	1	normalize_inputs	11/11/2025 12:25:42	11/11/2025 12:25:42		11/11/2025 12:25:42	hint	0	0	1	Single-KC	1	normalize_inputs	1
0	a35527f4-b9e0-4cd4-a965-46d596d7e7b3	solve_triangle/Right triangle: a=3, b=4	1	normalize_inputs	11/15/2025 05:03:07	11/15/2025 05:03:07		11/15/2025 05:03:07	hint	0	0	1	Single-KC	1	normalize_inputs	1
0	8921693e-1d38-4a73-a18b-976e7b770571	solve_triangle/Right triangle: a=3, b=4	1	normalize_inputs	11/15/2025 05:13:16	11/15/2025 05:13:16		11/15/2025 05:13:16	hint	0	0	1	Single-KC	1	normalize_inputs	1
0	098180b2-c20b-4670-9a65-a06e3bc52d7c	solve_triangle/SAS: a=7, b=8, C=60.	1	normalize_inputs	11/15/2025 05:29:49	11/15/2025 05:29:49		11/15/2025 05:29:49	hint	0	0	1	Single-KC	1	normalize_inputs	1
0	927c1e2a-bbbc-4270-ac72-d880cd745f59	solve_triangle/Right triangle: a=3, b=4	1	normalize_inputs	11/15/2025 05:30:19	11/15/2025 05:30:19		11/15/2025 05:30:19	hint	0	0	1	Single-KC	1	normalize_inputs	1
0	94583f9f-f664-4381-9860-988177ff1fa5	solve_triangle/SAS: a=7, b=8, C=60.	1	normalize_inputs	11/15/2025 05:31:11	11/15/2025 05:31:11		11/15/2025 05:31:11	hint	0	0	1	Single-KC	1	normalize_inputs	1
